id,Type,Source,Amount,Fee,Destination Platform Fee,Destination Platform Fee Currency,Net,Currency,Created (UTC),Available On (UTC),Description,Customer Facing Amount,Customer Facing Currency,Transfer,Transfer Date (UTC),Transfer Group
txn_1ReEKHIQid3PFnGVmzoauqsc,payout,po_1ReEKHIQid3PFnGV3YizFFNv,-4779.70,0.00,,,-4779.70,usd,2025-06-26 11:50,2025-06-26 11:50,"",,,,,
txn_3Rd3ulIQid3PFnGV1HDgjXJ3,payment,py_3Rd3ulIQid3PFnGV1t0UtIkj,5000.00,220.30,,,4779.70,usd,2025-06-23 06:31,2025-06-25 00:00,,5000.00,usd,,,
txn_1QyYtYIQid3PFnGVaaFIR09k,payout,po_1QyYtYIQid3PFnGVoI4qGbjs,-8512.88,0.00,,,-8512.88,usd,2025-03-03 13:18,2025-03-03 13:18,"",,,,,
txn_3QxA2OIQid3PFnGV1U0cNPdZ,payment,py_3QxA2OIQid3PFnGV1U9nlHeh,8905.00,392.12,,,8512.88,usd,2025-02-27 16:34,2025-03-03 00:00,,8905.00,usd,,,
txn_1QlhA0IQid3PFnGVgW0vzcUp,payout,po_1Qlh9zIQid3PFnGV6Oe33iKc,-5735.70,0.00,,,-5735.70,usd,2025-01-27 01:30,2025-01-28 00:00,STRIPE PAYOUT,,,po_1Qlh9zIQid3PFnGV6Oe33iKc,2025-01-28 00:00,
txn_1QlLbZIQid3PFnGV9IV3D70q,payout,po_1QlLbYIQid3PFnGVEYAldku7,25.98,0.00,,,25.98,usd,2025-01-26 02:29,2025-01-27 00:00,STRIPE PAYOUT,,,po_1QlLbYIQid3PFnGVEYAldku7,2025-01-27 00:00,
txn_1QktZBIQid3PFnGVqwXDZgeu,stripe_fee,,-24.00,1.98,,,-25.98,usd,2025-01-24 20:33,2025-01-24 20:33,Invoicing (2025-01-24): Invoicing Starter,,,po_1QlLbYIQid3PFnGVEYAldku7,2025-01-27 00:00,
txn_3QkdcMIQid3PFnGV1r3yWDwn,charge,ch_3QkdcMIQid3PFnGV1sr1v69R,6000.00,264.30,,,5735.70,usd,2025-01-24 15:18,2025-01-28 00:00,Payment for Invoice,6000.00,usd,po_1Qlh9zIQid3PFnGV6Oe33iKc,2025-01-28 00:00,
txn_1Qa5RLIQid3PFnGVtlGRocM2,payout,po_1Qa5RLIQid3PFnGVOSnAZFKL,-2867.70,0.00,,,-2867.70,usd,2024-12-26 01:00,2024-12-27 00:00,STRIPE PAYOUT,,,po_1Qa5RLIQid3PFnGVOSnAZFKL,2024-12-27 00:00,
txn_3QZhQbIQid3PFnGV0GAGLRsg,payment,py_3QZhQbIQid3PFnGV0P4rGu0B,3000.00,132.30,,,2867.70,usd,2024-12-24 23:22,2024-12-27 00:00,,3000.00,usd,po_1Qa5RLIQid3PFnGVOSnAZFKL,2024-12-27 00:00,
txn_1QYebBIQid3PFnGVsRoBz6gk,payout,po_1QYebBIQid3PFnGVUPKjTvvd,-2867.70,0.00,,,-2867.70,usd,2024-12-22 02:08,2024-12-23 00:00,STRIPE PAYOUT,,,po_1QYebBIQid3PFnGVUPKjTvvd,2024-12-23 00:00,
txn_3QXitCIQid3PFnGV1l1Ig5Cv,payment,py_3QXitCIQid3PFnGV1HOilYLm,3000.00,132.30,,,2867.70,usd,2024-12-19 12:31,2024-12-23 00:00,,3000.00,usd,po_1QYebBIQid3PFnGVUPKjTvvd,2024-12-23 00:00,
